tipo_credito;fecha_prestamo;capital_prestado;plazo_meses;edad_cliente;salario_cliente;total_otros_prestamos;cuota_pactada;puntaje_datacredito;cant_creditosvigentes;huella_consulta;promedio_ingresos_datacredito;tendencia_ingresos
4;19/01/2025 13:06;5154719;12;34;4500000;650000;357967;744.0;4;4;874946.0;Creciente
9;13/06/2025 17:27;1396562;9;37;4000000;1000000;130864;814.0;0;2;946640.0;Creciente
9;1/02/2025 11:40;1962652;9;29;4500000;2800000;187279;854.0;3;3;916148.0;Creciente
4;11/07/2025 12:27;2697600;12;42;12000000;5800000;211231;832.0;4;4;13202526.0;Creciente
4;20/07/2025 11:57;2236650;6;42;2036457;550000;331597;747.0;2;5;1626343.0;Creciente
9;20/04/2025 11:02;3087382;10;49;5000000;4000000;262545;823.0;12;5;933473.0;Creciente
4;23/12/2025 15:15;1613640;6;39;3234000;152000;246439;762.0;6;7;3098180.0;Creciente
68;26/05/2025 12:42;2822824;48;29;2800000;0;49007;804.0;6;2;2748150.0;Creciente
4;26/12/2024 19:01;3600000;36;42;5000000;2000000;116400;703.0;13;9;908526.0;Estable
9;5/04/2025 15:51;878880;5;32;5000000;2000000;142581;673.0;11;12;;
4;4/11/2025 13:41;3600000;6;50;5840000;2180000;548330;831.0;5;4;992377.0;Creciente
9;7/08/2025 15:36;2045724;4;35;3500000;1000000;411896;837.0;6;11;934661.0;Creciente
9;28/06/2025 17:57;586680;4;43;3500000;1000000;118010;742.0;16;7;1746821.0;Estable
4;25/04/2025 11:24;1224000;6;58;1400000;400000;182701;815.0;5;7;1454172.0;Estable
4;8/01/2025 10:49;1693200;12;51;1600000;600000;132694;735.0;0;3;;
4;5/02/2025 12:00;2696280;12;61;15000000;1000000;211831;799.0;11;5;;
4;31/12/2024 17:01;3116400;6;28;6000000;2000000;462237;811.0;9;7;;
4;31/01/2025 16:00;4080000;6;37;20000000;14000000;605991;834.0;10;7;;
9;2/11/2025 12:17;7960772;5;122;160806342;5297882;1314842;0.0;0;0;;
4;1/12/2024 8:49;1800000;24;48;1600000;450000;78689;760.0;8;1;;
9;30/11/2025 8:44;1889635;3;54;21020000;7223000;508527;887.0;14;3;2900000.0;Creciente
4;11/03/2025 16:42;3347760;12;55;4400000;2500000;263341;776.0;3;2;1484000.0;Decreciente
4;1/01/2025 14:31;2015880;12;31;2500000;1200000;139992;793.0;7;3;954263.0;Creciente
4;21/06/2025 16:34;806400;6;55;3500000;510000;121220;849.0;5;8;954263.0;Creciente
9;19/07/2025 17:32;4049395;9;122;1756295;0;380354;0.0;0;0;;
9;28/03/2025 13:42;1604400;2;32;5000000;2000000;632696;768.0;2;4;30285.0;Creciente
9;30/04/2025 15:54;2407208;10;47;3000000;1500000;204704;778.0;3;2;939017.0;Creciente
4;10/03/2025 12:02;2896680;6;30;6900000;3000000;430217;778.0;1;4;952497.0;Creciente
4;17/08/2025 10:16;5304000;36;68;2350000;471000;186179;833.0;5;1;969508.0;Creciente
4;16/07/2025 14:39;1290480;6;34;10000000;4500000;191322;719.0;8;6;;
4;3/08/2025 12:42;2482800;6;29;1272748;266000;374996;781.0;11;3;1181401.0;Creciente
4;2/01/2025 15:22;3340980;12;22;1500000;510000;262155;762.0;3;5;1168424.0;Decreciente
9;28/12/2024 15:16;1599012;10;52;5100000;3800000;135621;888.0;7;6;909000.0;Creciente
9;5/04/2025 10:40;3300210;11;26;2600000;900000;257205;797.0;5;4;1200000.0;Creciente
4;25/04/2025 14:42;2751240;12;34;4000000;1500000;216507;814.0;8;5;;
4;23/02/2025 11:35;12257596;36;36;5300000;0;399464;799.0;6;3;4021717.0;Creciente
4;24/02/2025 15:30;9600000;6;49;10000000;2000000;1426834;870.0;8;5;;
4;2/12/2024 7:48;2146800;10;49;2000000;250000;197811;832.0;3;2;635969.0;Estable
4;26/02/2025 13:23;1200000;6;61;2800000;650000;178354;813.0;4;1;1461363.0;Creciente
4;31/12/2024 13:05;1572360;12;33;1740000;600000;123378;766.0;0;3;1386320.0;Creciente
4;6/03/2025 11:03;2148000;6;27;1800000;700000;319238;771.0;5;5;1803075.0;Creciente
4;6/12/2025 17:29;2033880;24;43;1809000;0;99835;782.0;0;2;1108956.0;Creciente
4;8/08/2025 9:14;2400000;12;37;1702000;537000;193173;771.0;7;4;2027738.0;Decreciente
9;3/07/2025 15:41;2122901;10;30;3650440;1985740;180811;868.0;3;3;954263.0;Creciente
9;16/02/2025 16:02;2793991;9;42;4000000;2000000;261184;825.0;7;3;2587500.0;Creciente
4;16/12/2024 14:05;1296600;6;39;3500000;1000000;192449;763.0;10;8;211990.0;Decreciente
9;14/09/2025 9:24;2809465;11;37;1730000;199000;221966;772.0;2;2;;
4;14/10/2025 19:18;5078760;36;53;2360000;522000;181100;883.0;2;1;;
4;18/12/2024 14:25;575520;6;50;3000000;2000000;85422;771.0;9;2;908526.0;Estable
4;5/02/2025 10:25;3343500;24;40;2500000;500000;146165;777.0;5;7;1267543.0;Creciente
