woe_puntaje_datacredito;woe_plazo_meses;woe_huella_consulta;woe_consultas_por_credito;woe_promedio_ingresos_datacredito;woe_discrepancia_ingresos;woe_edad_cliente;woe_tendencia_ingresos;woe_tipo_credito_grp;esc_capital_prestado;esc_cuota_pactada;esc_salario_cliente;esc_total_otros_prestamos;edad_cliente_corregida;salario_cliente_corregido;tendencia_ingresos_reconstruida;total_otros_prestamos_sospechoso;Pago_atiempo
-0.088999;-0.174713;-0.470764;0.462204;-0.072927;-0.544489;-0.238008;-0.207167;-0.026201;-0.7934630568927932;-1.2202512575951217;-1.2372234462551783;-0.8684820536574244;0;0;0;0;1
-0.41908;-0.174713;-0.470764;-0.313716;0.274181;0.274181;-0.238008;0.275582;0.01093;0.3782426580336327;0.3865940134529528;-0.629925444024672;-0.014573173876859658;0;0;0;0;1
0.545457;-0.174713;-0.470764;-0.468919;0.274181;0.274181;-0.238008;0.275582;0.01093;-0.10122195063764915;-0.3452766715629756;1.484681368788478;1.16096472655298;0;0;0;0;1
-0.41908;-0.018488;-0.097525;-0.313716;-0.224993;-0.357931;-0.106918;-0.141832;0.01093;0.8318701885136736;1.7647215276116976;-0.22483013819708175;-0.16096404127330352;0;0;0;0;1
-0.088999;-0.018488;-0.097525;-0.313716;0.274181;0.274181;-0.238008;0.275582;-0.026201;-0.2227620735868469;0.2937135979697192;0.0;-0.4999998196633301;0;0;0;0;1
-0.41908;-0.018488;-0.470764;-0.468919;0.333887;-0.357931;-0.106918;-0.141832;-0.026201;-0.8221373553041931;-0.44134712094071393;-0.8547555274150459;-1.1609624182467266;0;0;0;0;1
0.545457;-0.018488;0.111714;0.462204;0.274181;0.274181;0.365197;0.275582;-0.026201;-0.3648866051978068;0.12645156739092545;0.2915032442185457;0.16096407734064597;0;0;0;0;0
-0.41908;-0.174713;-0.470764;0.017386;0.274181;0.274181;-0.356069;0.275582;-0.026201;-0.6858935814303939;-0.5234670596679807;-0.22483013819708175;-0.3107441361870803;0;0;0;0;1
0.545457;-0.174713;0.041569;0.139362;0.333887;-0.007315;0.365197;-0.207167;-0.026201;-1.1344298518485285;-0.9994183486677025;-0.49999996574579697;-2.160952680178561;0;0;0;0;1
-0.088999;-0.174713;0.041569;-0.313716;-0.224993;-0.044017;-0.356069;-0.141832;0.01093;0.7934126376836483;0.7159901250188843;0.07958579063994863;0.1315172249966791;0;0;0;0;0
-0.088999;-0.018488;0.111714;0.462204;0.274181;0.274181;-0.238008;0.275582;-0.026201;0.04665220413001478;0.5725091815967824;0.35475566443183615;0.3390360488949802;0;0;0;0;1
-0.088999;1.015721;0.111714;0.462204;0.274181;0.274181;0.10792;0.275582;-0.539718;1.289344336457633;0.14235655579657772;0.6299255536381182;0.0;0;0;0;0;1
-0.41908;-0.174713;-0.470764;-0.468919;-0.635241;0.185665;-0.356069;-0.207167;0.01093;0.06951401518280681;-0.16221154061332296;-0.17646505027815954;0.1315172249966791;0;0;0;0;1
-0.41908;-0.174713;0.041569;0.462204;-0.072927;0.185665;-0.238008;0.168389;0.01093;1.152183538702166;1.2245811720763886;2.1390266885671054;1.9036788510249159;0;0;0;0;1
-0.41908;-0.174713;-0.470764;-0.313716;-0.635241;-0.007315;0.10792;0.168389;-0.026201;0.5999866260966098;0.41794416959429603;0.6299255536381182;-1.1609624182467266;0;0;0;0;1
-0.41908;-0.018488;-0.470764;-0.468919;-0.635241;-0.544489;-0.356069;-0.207167;-0.026201;-0.5074974140575732;-0.027750527918219553;0.6299255536381182;0.6609643298120481;0;0;0;0;1
0.545457;-0.018488;-0.470764;-0.468919;0.274181;0.274181;0.365197;0.275582;0.01093;-1.302137883597773;0.2619342198553772;0.6299255536381182;0.5000001803366698;0;0;0;0;1
-0.41908;-0.174713;-0.097525;0.139362;-0.635241;-0.044017;0.365197;-0.207167;0.01093;-0.3220380019546947;-0.5807048068438699;-0.32765230593822847;0.0;0;0;0;0;1
-0.41908;-0.174713;-0.470764;-0.468919;0.274181;0.274181;-0.238008;0.275582;0.01093;-1.0342639252015675;-1.2448686117254397;-0.8547555274150459;-0.16096404127330352;0;0;0;0;1
-0.088999;-0.174713;0.47127;0.462204;-0.224993;-0.007315;0.365197;0.168389;-0.026201;1.1401990841431837;0.8530316216675299;0.500000034254203;0.3390360488949802;0;0;0;0;1
-0.41908;-0.174713;0.111714;0.139362;-0.635241;-0.544489;0.10792;-0.207167;0.01093;1.044185665137873;0.7500863655881304;1.247457581236958;1.2924820477293266;0;0;0;0;1
-0.41908;-0.018488;-0.097525;-0.313716;-0.224993;-0.544489;-0.106918;-0.207167;-0.026201;0.22453127181525945;0.7611918558048693;-0.49999996574579697;-0.36848271489103696;0;0;0;0;1
-0.088999;-0.174713;-0.470764;-0.468919;0.274181;0.274181;0.10792;0.275582;-0.026201;0.45032730402210375;-0.1516837903752987;-0.49999996574579697;-0.4999998196633301;0;0;0;0;1
-0.41908;-0.174713;0.111714;-0.313716;0.274181;0.274181;-0.356069;0.275582;0.01093;0.3128269318389874;0.31366581784099334;0.6299255536381182;0.7924816269434646;0;0;0;0;1
-0.41908;-0.174713;0.111714;0.139362;0.333887;0.185665;-0.238008;-0.207167;-0.026201;-0.5085862870739243;-0.7634612389829538;1.3547558357028755;0.2924813263822281;0;0;0;0;1
-0.088999;-0.018488;-0.470764;-0.468919;-0.635241;-0.007315;-0.356069;-0.207167;-0.026201;-0.0194688647482862;0.533996382578152;0.6065216048305272;0.007177647112844359;0;0;0;0;1
-0.088999;-0.174713;-0.097525;0.462204;-0.072927;-0.544489;0.365197;-0.207167;-0.026201;-0.5531719627592704;-0.7651370793454692;-0.8713081427358983;-9.96579578919888;0;0;0;0;1
-0.41908;-0.174713;-0.470764;-0.313716;-0.635241;-0.357931;-0.238008;-0.207167;0.01093;-0.26522837826720036;-0.3050132850644039;0.0;0.0;0;0;0;0;1
-0.41908;0.579123;-0.470764;0.017386;-0.072927;-0.544489;-0.106918;-0.141832;-0.026201;-0.2053868894905525;-1.1302989149437908;-1.129925272753716;-0.36848271489103696;0;0;0;0;1
-0.088999;-0.018488;0.111714;0.462204;0.274181;0.274181;-0.356069;0.275582;0.01093;-0.19218862193439676;1.4537450566741528;0.6299255536381182;0.5000001803366698;0;0;0;0;1
0.545457;-0.174713;0.47127;0.017386;-0.635241;-0.044017;-0.356069;-0.207167;-0.026201;-0.6599064190509103;-0.9382660728213061;-0.10729822955376449;-0.1387669849001554;0;0;0;0;1
0.545457;-0.018488;-0.097525;-0.313716;0.274181;0.274181;-0.356069;0.275582;-0.026201;-0.22980735881018888;0.3014633122504135;0.6639792496191457;0.7241865238697522;0;0;0;0;1
-0.088999;-0.174713;-0.097525;0.017386;-0.635241;-0.357931;-0.238008;-0.207167;-0.026201;0.6882614061317031;0.7029609811977953;0.35475566443183615;0.46299986856252573;0;0;0;0;1
-0.41908;0.579123;0.47127;0.462204;-0.072927;-0.357931;0.365197;0.168389;-0.026201;0.33611777729513026;-0.5541981582603849;-0.629925444024672;-0.41825051964169413;0;0;0;0;1
-0.41908;-0.174713;-0.470764;-0.468919;0.274181;0.274181;-0.356069;0.275582;-0.026201;0.10094499398780632;-0.261259294603496;0.0;-0.4999998196633301;0;0;0;0;1
