tipo_credito;fecha_prestamo;capital_prestado;plazo_meses;edad_cliente;tipo_laboral;salario_cliente;total_otros_prestamos;cuota_pactada;puntaje_datacredito;cant_creditosvigentes;huella_consulta;creditos_sectorFinanciero;creditos_sectorCooperativo;creditos_sectorReal;promedio_ingresos_datacredito;tendencia_ingresos;Pago_atiempo;promedio_ingresos_datacredito_era_nulo;sin_historial_crediticio;edad_cliente_corregida;salario_cliente_corregido;tendencia_ingresos_reconstruida;anio_mes_prestamo;vencimiento_teorico;madurez_incompleta;total_otros_prestamos_sospechoso;consultas_por_credito;discrepancia_ingresos;antiguedad_dias;mes_prestamo;trimestre_prestamo;tipo_credito_grp
4;2024-11-26 09:17:00;577356;6;28;Empleado;1500000;500000;85518;838.0;1;0;1;0;0;971334.0;Creciente;1;False;0;False;False;False;2024-11;2025-05-25 09:17:00;False;0;0.0;528666.0;516;11;4;4
4;2024-11-26 09:31:00;1263020;10;51;Independiente;3800000;400000;116561;777.0;3;0;2;1;0;;Sin_dato;1;True;0;False;False;False;2024-11;2025-09-22 09:31:00;False;0;0.0;;516;11;4;4
4;2024-11-26 13:14:00;2988000;12;37;Empleado;3000000;2000000;234010;794.0;7;4;2;1;2;1600000.0;Estable;1;False;0;False;False;False;2024-11;2025-11-21 13:14:00;False;0;0.5;1400000.0;516;11;4;4
4;2024-11-26 14:32:00;903960;12;55;Empleado;1500000;500000;70664;879.0;3;0;1;0;1;903405.0;Creciente;1;False;0;False;False;False;2024-11;2025-11-21 14:32:00;False;0;0.0;596595.0;516;11;4;4
4;2024-11-26 16:00:00;932400;6;58;Empleado;1200000;250000;138294;852.0;2;0;1;1;0;905965.0;Creciente;1;False;0;False;False;False;2024-11;2025-05-25 16:00:00;False;0;0.0;294035.0;516;11;4;4
4;2024-11-26 16:07:00;828000;6;45;Empleado;2200000;1500000;122767;751.0;6;5;5;1;0;1110789.0;Creciente;1;False;0;False;False;False;2024-11;2025-05-25 16:07:00;False;0;0.7142857142857143;1089211.0;516;11;4;4
4;2024-11-26 17:30:00;3057600;12;46;Empleado;3000000;1500000;238724;798.0;10;24;3;0;4;2964008.0;Creciente;1;False;0;False;False;False;2024-11;2025-11-21 17:30:00;False;0;2.1818181818181817;35992.0;516;11;4;4
4;2024-11-26 18:58:00;516000;6;28;Empleado;2000000;700000;76533;729.0;2;7;0;1;1;1497947.0;Creciente;1;False;0;False;False;False;2024-11;2025-05-25 18:58:00;False;0;2.3333333333333335;502053.0;515;11;4;4
4;2024-11-26 19:00:00;1691760;12;43;Empleado;4000000;800000;132411;873.0;6;0;4;0;1;3312341.0;Creciente;1;False;0;False;False;False;2024-11;2025-11-21 19:00:00;False;0;0.0;687659.0;515;11;4;4
4;2024-11-27 09:04:00;959880;12;41;Empleado;5600000;1500000;75221;746.0;9;2;4;0;4;5764909.0;Estable;1;False;0;False;False;False;2024-11;2025-11-22 09:04:00;False;0;0.2;164909.0;515;11;4;4
